name,ra,dec,JAB,label,spectral type,redshift,source,note,run,flux_z,flux_ivar_z,flux_w1,flux_ivar_w1,flux_w2,flux_ivar_w2,j_err,y_err,h_err,k_err,YAB,HAB,KAB
J1443+0210,220.9054,2.1678,21.11,failed,,,RN,reduction fail,lris-2203,2.387119,33.641644,6.416104,2.993757,8.885814,0.690716,0.24445987,0.10864548,0.16585183,0.11422058,21.16,21.0,20.48
J1458+1012,224.6507,10.2138,19.23,QSO,,5.6,EB,,lris-2203,10.92034,88.756744,30.00384,3.152304,31.078043,0.768149,0.059378702,0.07260523,0.057935726,0.051036067,19.82,19.02,18.93
J1510-0144,227.6352,-1.7405,21.64,uNQ,,,RN,,lris-2203,0.733868,80.717575,2.092325,3.314862,2.372685,0.688715,0.16612178,0.16702612,-1.0,0.26009342,21.91,-1.0,21.42
J1514-0121,228.5783,-1.3623,21.53,star,M9.5,,RN,,lris-2203,0.946981,51.02719,2.863791,3.197042,4.229907,0.676635,0.1578583,0.15816413,0.24148867,-1.0,21.78,21.5,-1.0
J1522+0051,230.6429,0.8647,19.66,uNQ,,,RN,,lris-2203,2.696773,69.01218,10.855453,2.774345,11.64784,0.665867,0.07809875,0.12487722,0.058248974,0.05394379,20.09,19.31,18.95
J1534+0046,233.7204,0.7793,20.88,star,M9,,RN,,lris-2203,1.970369,47.301636,6.793163,3.046798,8.388331,0.682872,0.09822811,0.12607706,0.1191758,0.1973974,21.24,20.85,20.91
J1655-0051,253.7865,-0.856,-1.0,star,M4.5,,EB,,lris-2203,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J1724+3718,261.1247,37.3061,-1.0,QSO,,5.74,EB,,lris-2203,3.578729,98.47369,4.90417,5.126223,5.153893,1.430304,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0739+2645,114.9618,26.7584,21.49,failed,,,RN,observed but close to moon?,lris-2204,0.538795,146.99988,4.179718,2.640346,6.872106,0.625238,0.20627713,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
J0744+2352,116.1866,23.8809,20.73,failed,,,RN,observed but close to moon?,lris-2204,2.623605,76.352585,9.80778,2.53582,11.908905,0.591268,0.13191581,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
