Name,redshift,radeg,decdeg,JAperMag3,JAperMag3Err
SDSSJ132853.66-022441.6  ,4.695,202.2235833,-2.411575,18.757666,0.087184
SDSSJ165436.85+222733.8  ,4.696,253.6535417,22.4593889,17.458858,0.031912
SDSSJ134546.96-015940.3  ,4.7  ,206.4457083,-1.99455,18.690538,0.080478
SDSSJ143003.95+144354.8  ,4.7  ,217.5165,14.7319,18.8073,0.112274
SDSSJ153715.42+072128.7  ,4.705,234.3142917,7.357975,18.159489,0.054239
SDSSJ153024.82+241913.0  ,4.708,232.6034167,24.3202833,18.799099,0.139435
SDSSJ134831.67+172138.9  ,4.71 ,207.1319583,17.3608167,18.82572,0.104836
SDSSJ154814.20+202908.6  ,4.716,237.0592083,20.4857222,18.088612,0.067432
SDSSJ135249.82-031354.2  ,4.72 ,208.2075833,-3.2317389,,
SDSSJ135135.70+284014.8  ,4.723,207.8987917,28.6707778,19.133368,0.159407
SDSSJ133125.56+025535.5  ,4.728,202.8565417,2.9265417,-999999500.0,-999999500.0
SDSSJ160329.14+090218.3  ,4.73 ,240.8714167,9.0384194,19.246117,0.170411
SDSSJ142535.97-023934.4  ,4.75 ,216.3999167,-2.6595611,18.199518,0.020222
SDSSJ152244.34-003412.9  ,4.75 ,230.6847917,-0.5702639,19.084131,0.139619
SDSSJ154424.26+140922.5  ,4.75 ,236.1010833,14.1562583,,
SDSSJ160734.22+160417.4  ,4.76 ,241.892625,16.0715111,18.164696,0.057334
SWJ163810.39+150058.26   ,4.76 ,249.5432917,15.0161833,17.346588,0.030868
SDSSJ161931.58+123844.4  ,4.77 ,244.881625,12.6456944,19.1958,0.16287
SDSSJ172326.68+262055.7  ,4.771,260.8612083,26.3488278,18.735767,0.097948
SDSSJ144029.45+190800.6  ,4.774,220.1227083,19.1335167,18.912424,0.130908
SDSSJ143629.94+063507.9  ,4.779,219.12475,6.5855361,,
SDSSJ144413.26+004836.7  ,4.78 ,221.0552917,0.8102694,20.049707,0.089523
SDSSJ132536.24+232823.8  ,4.79 ,201.4010417,23.4732833,19.14635,0.102966
SDSSJ141741.56+253702.0  ,4.791,214.4231667,25.6172278,19.219814,0.150874
SDSSJ152404.23+134417.5  ,4.792,231.017625,13.7382056,18.779768,0.136925
SDSSJ153229.11+160949.7  ,4.795,233.1212917,16.163825,,
AGESJ143540.96+350325.6  ,4.8  ,218.9206667,35.0571111,,
SDSSJ142634.33+204336.3  ,4.82 ,216.6430417,20.7267722,17.707623,0.043361
SDSSJ155700.16+101841.7  ,4.829,239.2507083,10.3116028,18.403467,0.06963
SDSSJ141551.58+120445.0  ,4.83 ,213.9649167,12.0791694,-999999500.0,-999999500.0
SDSSJ165913.23+210115.8  ,4.83 ,254.805125,21.0210667,18.938793,0.118459
SDSSJ143250.16+001756.3  ,4.838,218.209,0.2989917,20.134235,0.091459
BTC40J1429+0119          ,4.84 ,217.3604167,1.3316667,18.88317,0.043078
SDSSJ155422.97+303214.4  ,4.84 ,238.5957083,30.5373333,18.227652,0.069141
SWJ162838.83+063859.14   ,4.85 ,247.1617917,6.6497611,18.501799,0.056999
SDSSJ144853.29+190205.7  ,4.865,222.2220417,19.0349389,19.17218,0.185555
SDSSJ134408.61+152125.0  ,4.871,206.0359167,15.3569583,18.461964,0.057045
SDSSJ161622.10+050127.7  ,4.872,244.092125,5.024375,17.73945,0.044735
SDSSJ153627.09+143717.1  ,4.88 ,234.112875,14.6214306,18.987915,0.124484
SDSSJ133043.47+180401.1  ,4.888,202.6811667,18.0669889,,
SDSSJ144352.94+060533.1  ,4.889,220.970625,6.0925444,19.325914,0.159445
SDSSJ145212.86+023526.3  ,4.896,223.0535833,2.5906528,19.347157,0.06358
SDSSJ170254.22+243341.6  ,4.899,255.7259583,24.5615722,19.38196,0.192775
SDSSJ140404.65+031403.8  ,4.9  ,211.019375,3.2344028,18.28206,0.06317
SDSSJ140342.07+125252.5  ,4.913,210.9252917,12.8812722,17.945332,0.030874
SDSSJ160501.20-011220.6  ,4.922,241.2550417,-1.2057472,18.178259,0.053721
SDSSJ133843.66+203242.8  ,4.925,204.6819167,20.5452222,,
