t1_name,t1_redshift,t1_radeg,t1_decdeg,t1_japermag3,t1_japermag3err,flux_g,flux_ivar_g,flux_ivar_r,flux_ivar_w1,flux_ivar_w2,flux_ivar_z,flux_r,flux_w1,flux_w2,flux_z,mag_g,mag_r,mag_w1,mag_w2,mag_z,dist_arcsec
SDSSJ074211.16+250730.7  ,4.521,115.5465417,25.1252056,18.626795,0.053855,0.66333,1796.0206,337.57117,2.353445,0.597104,104.698006,6.957828,23.469435,19.78345,10.653943,22.945675,20.393816,19.073744,19.259245,19.931225,0.11873551260007745
SDSSJ084045.40+090809.4  ,4.531,130.1891667,9.1359667,18.338783,0.058484,1.253889,1855.4644,289.86166,2.488991,0.584794,79.74403,10.088818,36.159218,33.08711,21.304535,22.254353,19.990398,18.604452,18.700853,19.17882,0.13756543231502621
SDSSJ101006.54+073129.7  ,4.531,152.5272917,7.524925,19.339745,0.160332,1.003886,1664.9062,272.87952,2.677277,0.609738,109.14049,9.329967,18.595993,13.95743,12.459554,22.495789,20.0753,19.326452,19.637987,19.761244,0.03364058583980096
SDSSJ084121.24+224242.7  ,4.54 ,130.3385417,22.7118611,,,0.503008,2667.9976,369.34253,2.739314,0.578574,110.47034,4.773565,15.024129,13.092959,10.480605,23.246061,20.802893,19.558027,19.707405,19.949034,0.03908538440467511
SDSSJ085637.69+100855.4  ,4.544,134.1570833,10.1487389,18.482775,0.083379,1.212661,1438.2428,241.2307,2.59414,0.647982,72.93579,11.54514,25.642687,21.346697,21.365747,22.290651,19.844002,18.97759,19.176674,19.175705,0.03288185599593512
SDSSJ093654.09+240336.8  ,4.549,144.225375,24.0602222,,,0.509902,1234.1228,371.51566,3.10587,0.683628,117.20209,3.440715,8.555382,3.944354,6.184975,23.231283,21.158379,20.169401,21.01006,20.521656,0.08684130158912502
SDSSJ073748.60+263205.1  ,4.55 ,114.4525417,26.5347667,18.51192,0.040054,1.269141,2077.7815,430.27838,2.331376,0.602388,118.29725,8.005123,18.648016,13.702909,16.670813,22.241226,20.24158,19.323418,19.657969,19.445108,0.120747543055653
SDSSJ101253.72+284530.4  ,4.554,153.2238333,28.7584611,17.816479,0.047995,0.575764,2111.2798,561.277,1.553449,0.486232,128.92093,9.429891,90.78281,77.82501,21.464638,23.099388,20.063734,17.604992,17.772202,19.17069,0.08882111828797727
SDSSJ101440.95+283847.7  ,4.56 ,153.670625,28.6465861,18.803812,0.094949,0.474271,1906.0598,645.28906,3.026186,0.666434,116.23419,5.101102,14.257509,13.961327,9.876404,23.309933,20.73084,19.614891,19.637684,20.013502,0.07503129527108832
SDSSJ083201.54+263641.9  ,4.564,128.0064167,26.6116444,18.219334,0.045268,0.773324,1587.1884,255.5185,2.443395,0.578781,63.615746,6.425512,25.861128,20.827082,20.331055,22.779097,20.48023,18.968382,19.203428,19.2296,0.08821791761886635
