t1_name,t1_ra,t1_dec,t1_jab,t1_source,t1_type,t1_obs,flux_g,flux_ivar_g,flux_ivar_r,flux_ivar_w1,flux_ivar_w2,flux_ivar_z,flux_r,flux_w1,flux_w2,flux_z,mag_g,mag_r,mag_w1,mag_w2,mag_z,dist_arcsec
J1443+0210,220.9054208,2.167783333,21.5,Nanni,problematic,lris2203,0.038471,576.4513,157.74109,2.993757,0.690716,33.641644,0.250329,6.416104,8.885814,2.387119,26.037165,24.003723,20.481821,20.128258,21.555315,0.005225054462708929
J1458+1012,224.6506792,10.21379167,19.9,Banados,qso,lris2203,0.016166,1736.9225,437.3632,3.152304,0.768149,88.756744,0.346651,30.00384,31.078043,10.92034,26.97847,23.650269,18.807058,18.768866,19.90441,0.11511026158546073
J1510-0144,227.6352,-1.740491111,22.8,Nanni,M9,lris2203,0.003269,2520.6667,936.7564,3.314862,0.688715,80.717575,0.013275,2.092325,2.372685,0.733868,28.714079,27.192448,21.698427,21.5619,22.835955,0.005980067595457767
J1514-0121,228.5782583,-1.362261389,22.6,Nanni,L1.5,lris2203,-0.014945,3000.7632,474.676,3.197042,0.676635,51.02719,0.026569,2.863791,4.229907,0.946981,NaN,26.439075,21.357647,20.934174,22.559147,0.007330418137558412
J1522+0051,230.6428958,0.8646655556,21.7,Nanni,unknown,lris2203,0.015293,839.17596,293.53345,2.774345,0.665867,69.01218,0.148214,10.855453,11.64784,2.696773,27.038794,24.572779,19.91088,19.834387,21.42289,0.007054567872952775
J1534+0046,233.7203625,0.7793127778,21.8,Nanni,L1.5,lris2203,-0.011043,1505.372,536.6636,3.046798,0.682872,47.301636,0.010047,6.793163,8.388331,1.970369,NaN,27.494951,20.41982,20.190811,21.763632,0.0052048718601746475
J1655-0051,253.7865042,-0.8560072222,20.9,Banados,M4.5,lris2203,,,,,,,,,,,,,,,,
J1724+3718,261.1247042,37.30605139,21,Banados,qso,lris2203,0.05419,757.7869,175.7167,5.126223,1.430304,98.47369,0.270974,4.90417,5.153893,3.578729,25.665195,23.91768,20.773586,20.719662,21.115679,0.1754636667910724
J085428.106+290833.104,133.6171092,29.1425288,20.71449,Nanni,unknown,lris2204,-0.012679,1351.6882,372.37888,3.094136,0.614885,92.01343,-0.048855,5.825679,7.259589,1.145573,NaN,NaN,20.586634,20.34772,22.352444,0.6284787063130476
J095415.180-011754.786,148.5632501,-1.2985516,20.288416,Nanni,L1.5,lris2204,-0.000889,1762.2084,751.74835,2.90811,0.683245,107.38377,0.08909,15.166682,17.065231,1.087003,NaN,25.12543,19.547773,19.41972,22.409424,0.8958927469468274
J110039.295+023721.243,165.1637309,2.6225675,20.538475,Nanni,unknown,lris2204,0.047382,977.062,473.13474,2.864469,0.6128,31.941647,0.041697,8.644151,9.716478,2.479635,25.810978,25.94975,20.158194,20.031227,21.51403,0.17793755994213414
J111125.153+064053.984,167.854804,6.6816622,20.75224,Nanni,qso,lris2204,-0.048956,2262.6274,613.35065,2.749703,0.604792,99.93573,0.10314,5.461831,6.926295,4.654559,NaN,24.966434,20.656654,20.398748,20.830303,0.3057449329426779
J115218.583+005934.029,178.0774277,0.9927859,20.296341,Nanni,problematic,lris2204,0.021475,1318.7959,493.00732,2.808686,0.605864,75.14101,0.12893,-3.279843,-3.225878,2.903681,26.670185,24.724113,NaN,NaN,21.342628,0.18212449190907712
J123824.230+023459.841,189.6009592,2.5832891,20.691695,Nanni,unknown,lris2204,0.024325,1163.5007,311.68887,2.776395,0.583961,72.89134,0.061754,9.164779,7.543748,1.137889,26.53485,25.523346,20.094694,20.306032,22.35975,0.14438654433771292
J125312.362-020041.081,193.3015099,-2.0114115,20.877014,Nanni,unknown,lris2204,-0.011555,1750.25,518.6982,1.925012,0.498752,106.52594,0.158509,5.420058,2.104805,1.244154,NaN,24.499868,20.66499,21.69197,22.262815,0.07789287939395811
J131729.651-030247.665,199.3735463,-3.0465736,21.004038,Nanni,M4.5,lris2204,0.016371,1339.2954,337.71613,2.929391,0.655318,90.68494,0.107916,4.949327,7.037931,2.480017,26.964832,24.917288,20.763636,20.381388,21.513863,0.3301823978719069
