#ID , RA , DEC , z , Discovery Ref ,,,,
J114648.42+012420.10,11:46:48.42,+01:24:20.10,6.27,Matsuoka18,,,,
J122331.91+025721.50,12:23:31.91,+02:57:21.50,6.27,Matsuoka21,,,,
J012235.47-003602.40,01:22:35.47,-00:36:02.40,6.26,Matsuoka21,,,,
J001650.69+034154.10,00:16:50.69,+03:41:54.10,6.26,Matsuoka21,,,,
J005006.67+344522.60,00:50:06.67,+34:45:22.60,6.25,Willott10,,,,
J033027.92-402516.40,03:30:27.92,-40:25:16.40,6.25,Reed17,,,,
J084431.60-005254.60,08:44:31.60,-00:52:54.60,6.25,Matsuoka17,,,,
J032340.34-470120.13,03:23:40.34,-47:01:20.13,6.25,Reed17,,,,
J014310.24-554510.68,01:43:10.24,-55:45:10.68,6.25,Reed17,,,,
J094713.88+034939.80,09:47:13.88,+03:49:39.80,6.25,Matsuoka21,,,,
J104320.45+013104.70,10:43:20.45,+01:31:04.70,6.25,Matsuoka21,,,,
J?,  ,  ,6.25, Gloudemans in prep ,,,,
J223947.47+020747.50,22:39:47.47,+02:07:47.50,6.2497,Matsuoka17,,,,
J162331.81+311200.50,16:23:31.81,+31:12:00.50,6.247,Fan04,,,,
J203209.99-211402.31,20:32:09.99,-21:14:02.31,6.23265,Banados16,,,,
J104311.09+011913.60,10:43:11.09,+01:19:13.60,6.23,Matsuoka21,,,,
J132700.35+014147.70,13:27:00.35,+01:41:47.70,6.23,Matsuoka21,,,,
J125845.66-004757.50,12:58:45.66,-00:47:57.50,6.22,Matsuoka21,,,,
J041003.23-441440.70,04:10:03.23,-44:14:40.70,6.21,Reed17,,,,
J013603.17+022605.70,01:36:03.17,+02:26:05.70,6.21,Willott10,,,,
J142952.17+544717.70,14:29:52.17,+54:47:17.70,6.21,Willott10,,,,
J084422.57+042353.70,08:44:22.57,+04:23:53.70,6.21,Matsuoka21,,,,
J121721.34+013142.47,12:17:21.34,+01:31:42.47,6.2,Banados16,,,,
