Name,dist_off,,Plan,JAB_off,Observing notes,Daming's notes,RA,DEC,JAB,Priority,ra_off,dec_off,Flag,Image_Note
J230846.085+113728.380,22.8688172,127.0489844,,16.146332,,,347.1920204,11.62455,20.354506,0.002148105004,347.1966478,11.6289987,Nanni,
J235931.616+143114.793,6.114932543,33.97184746,,17.11706,,,359.8817354,14.5207757,20.015776,0.02121226834,359.8820753,14.5191082,Nanni,FW-- Fuzzy
J235942.316+144525.680,29.02224319,161.2346844,1,17.60804,No object in imaging,,359.9263155,14.7571333,20.311268,0.0437196638,359.9255841,14.7651645,Nanni,
J235954.452+123004.814,54.69098737,303.8388187,1,18.17665,No object in imaging,,359.9768843,12.5013373,19.490526,0.08656640277,359.9665989,12.4899365,Nanni,
J235957.371+011151.140,47.01333534,261.1851963,1,18.569054,No object in imaging,,359.9890447,1.1975388,19.754957,0.002195293217,359.9822759,1.1863696,Nanni,
J063725.561+381250.071,14.38532933,79.91849629,1 (2 seq.),16.104921,Most likely a dwarf,not z>7 quasar,99.356503,38.2139085,20.48159,2,99.3533082,38.2108009,UHS,
J063917.240+555702.768,38.72783237,215.1546243,,18.00519,,,99.8218332,55.9507688,20.452149,3,99.8317034,55.9600002,UHS,
J073007.758+594904.837,20.5279054,114.0439189,1 (2 seq.),18.275442,"Very faint, probably not a quasar",no trace? (need FC),112.5323242,59.8180102,20.501684,2,112.5329141,59.8123167,UHS,
J080841.550+311951.714,31.68941306,176.0522948,,16.65777,,,122.1731242,31.3310316,20.852375,2,122.1687344,31.3230673,UHS,
J083902.772+160535.755,55.95982845,310.8879358,,17.819435,,,129.7615486,16.0932654,20.354603,2,129.7756233,16.1009334,UHS,
J090746.960+144558.630,80.11286538,445.0714744,,18.550566,,,136.9456677,14.7662862,19.486565,2,136.9335275,14.7473801,UHS,
J093855.139+134144.136,94.36697727,524.2609849,1 (2 seq.),18.805344,Prob. not a QSO,not z>7 quasar (provide offsets manually),144.7297448,13.6955934,19.297581,1,144.7159991,13.6730381,UHS,
J094659.655+411100.909,57.74684407,320.8158004,,16.520942,,,146.7485635,41.1835858,20.651428,2,146.7382011,41.169569,UHS,
J095121.351+514600.301,22.49384138,124.9657854,,16.743875,,,147.8389612,51.7667502,20.577872,2,147.8455727,51.7714734,UHS,
