,ra,dec,PA,mag,mag_off,ra_off,dec_off,priority,flag,Night1,Night2,Notes
J1510-0144,15 10 32.448,-01 44 25.768,37.96,22.8,20.3,18.81,24.11,1,Nanni,,O,Not QSO
J1513-0059,15 13 04.073,-00 59 01.365,-124.42,22,18.2,-34.79,-23.84,3,Nanni,,,
J1514-0121,15 14 18.782,-01 21 44.141,108.06,22.6,16.5,20.6,-6.72,1,Nanni,,O,Not QSO
J1522+0051,15 22 34.295,00 51 52.796,129.48,21.7,15.6,12.44,-10.25,2,Nanni,,O,Not QSO
J1534+0046,15 34 52.887,00 46 45.526,-136.95,21.8,19.6,-2.47,-2.65,2,Nanni,,O,Not QSO
J1546-0032,15 46 09.578,-00 32 28.981,167.07,21.5,16.7,8.63,-37.59,4,Nanni,,,
J1607+2831,16 07 23.309,28 31 39.571,169.8,21.1,19.6,4.3,-23.91,4,Nanni,,,
J1614+2319,16 14 23.623,23 19 21.034,-77.75,20.9,18.8,-30.6,6.64,4,Nanni,,,
J1617+2307,16 17 05.206,23 07 16.671,-124.96,22.5,17.5,-37.43,-26.17,4,Nanni,,,
J1630+2940,16 30 33.488,29 40 46.761,-164.8,21.1,18.6,-7.02,-25.85,4,Nanni,,,
J1641+3006,16 41 26.378,30 06 34.893,-153.13,20.8,20.2,-8.75,-17.27,4,Nanni,,,
J1655-0051,16 55 08.761,-00 51 21.626,-97.86,20.9,16.7,-40.59,-5.6,1,Banados,,O,Not QSO
J1724+3718,17 24 29.929,37 18 21.785,-83.76,21,16.9,-36.82,4.02,2,Banados,,O,"QSO, z=5.74"
